C = C ( N C ( C ) = O ) c 1 c c c c c 1 . Cl c 1 c c c 2 [nH] c c c 2 c 1 . O = C ( C c 1 c c c c c 1 ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O | [v29] [u34] [t0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c ( C ) c 1 . F [B-] ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] . c 1 c c c ( - c 2 c c ( - c 3 c c c c c 3 ) [n+] ( C 3 C C C C C 3 ) c ( - c 3 c c c c c 3 ) c 2 ) c c 1 | [v0] [u6] [t0]
C O c 1 c c c 2 c c ( C = O ) c c c 2 c 1 . N c 1 c c c c c 1 . O B ( O ) C 1 C C C C 1 | [v2] [u6] [t0]
C = C C C C ( = O ) N c 1 c c c c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1] [u6] [t8]
C C O C ( = O ) c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v47] [u47] [t0]
C [Si] ( C ) ( C ) N = [N+] = [N-] . O = C ( c 1 c c c c c 1 C Cl ) n 1 c c c 2 c c c c c 2 1 . O = O | [v46] [u48] [t14]
C C O C ( = O ) C ( Br ) C ( = O ) O C C . C O C ( = O ) / C = C \ N c 1 c c c c c 1 . C O C ( = O ) c 1 c c c ( N 2 C ( = O ) C = C C 2 = O ) c c 1 | [v42] [u1] [t6]
C = C c 1 c c c c c 1 . C O c 1 c c ( O C ) c c ( O C ) c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0] [u3] [t0]
Br C 1 = C c 2 c c c c c 2 C 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13] [u21] [t15]
C ( = C / c 1 c c c c c 1 ) \ C C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0] [u1] [t20]
C = C C C C . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( I ) c c 1 | [v0] [u15] [t0]
C = C ( C ( = O ) O C c 1 c c c c c 1 ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . F [N+] 1 2 C C [N+] ( C Cl ) ( C C 1 ) C C 2 . O = C ( C C [B-] ( F ) ( F ) F ) N c 1 c c c c c 1 . [K] | [v0] [u15] [t0]
C = C C C C Br . C C O C ( = O ) C ( F ) ( F ) Br . C c 1 c c c ( S ( = O ) ( = O ) C # C c 2 c c c c c 2 ) c c 1 | [v0] [u1] [t14]
C # C c 1 c c c ( C C ) c c 1 . O . c 1 c c c 2 c ( c 1 ) c n c 1 c c c c c 1 2 | [v0] [u4] [t5]
C = C ( C ) c 1 c c c c c 1 N C ( = O ) c 1 c c c c 2 c c c c c 1 2 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1] [u1] [t0]
C = C ( C S ( = O ) ( = O ) c 1 c c c c c 1 ) P ( = O ) ( O C C ) O C C . C O c 1 c c c ( N ) c c 1 . O = C c 1 c c c c c 1 | [v40] [u5] [t0]
C = C c 1 c c c ( O C ) c c 1 . C C C ( C C ) C ( = O ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O . C c 1 c c c c ( N ) c 1 C | [v33] [u4] [t0]
C = C ( C C C O ) c 1 c c c c c 1 . C c 1 c c c c ( [N+] # N ) c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0] [u1] [t0]
N c 1 n [nH] c 2 c c c c c 1 2 . O = C C # C c 1 c c c c c 1 . c 1 c c c ( [Se] [Se] c 2 c c c c c 2 ) c c 1 | [v0] [u11] [t0]
C / C = C / C ( = O ) n 1 n c ( C ) c c 1 C . C c 1 c o c 2 c c c c c 1 2 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v14] [u20] [t0]
C # C c 1 c c c s 1 . O = O . O c 1 c c c c c 1 | [v3] [u2] [t0]
C C ( C ) I . C C C C = O . C O c 1 c c 2 c ( c c 1 O C ) C ( = O ) C ( C C 1 C C N C C 1 ) C 2 | [v8] [u2] [t0]
O = C ( O ) C C C ( = O ) c 1 c c c c c 1 . O = C ( O N 1 C C O C C 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22] [u7] [t0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C O c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 | [v0] [u4] [t3]
C = C C O c 1 c c c c c 1 [N+] # N . C C C C C C C C C C C C S . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0] [u5] [t0]
C = C c 1 c c c c ( Br ) c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1] [u11] [t0]
C = C c 1 c c c ( C ) c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0] [u2] [t2]
C C ( = C 1 C C 1 ) c 1 c c c c c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v2] [u4] [t4]
C = C c 1 c c c ( O C ) c c 1 . C n 1 c c c 2 c c c c c 2 1 . O = C ( c 1 c c c s 1 ) C ( F ) ( F ) Br | [v0] [u1] [t18]
C = C N C ( C ) = O . C C O C ( = O ) C ( C ) Br . C c 1 c c n c 2 c c c c c 1 2 | [v34] [u12] [t8]
C C C C ( C C C ) C ( = O ) O . O = C ( O N C C c 1 c c c ( F ) c c 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22] [u7] [t0]
F [B-] ( F ) ( F ) F . N # C c 1 c c c c c 1 [N+] # N . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v47] [u47] [t0]
C = C c 1 c c c c c 1 . C C C S ( = O ) O [Na] . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0] [u1] [t20]
C C 1 ( C ) O B ( C C C C C I ) O C 1 ( C ) C . C C O C ( = O ) C ( = O ) C C 1 C C N ( C ( = O ) O C ( C ) ( C ) C ) C C 1 . N C 1 C C N ( C ( = O ) O C c 2 c c c c c 2 ) C C 1 | [v17] [u2] [t0]
C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . N # C c 1 c c c ( C # C Br ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0] [u54] [t0]
O = C = O . O = S ( O [Na] ) C ( F ) ( F ) F . [H] / C = C \ c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v0] [u22] [t10]
C # C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C C 1 ( O C ( = O ) C ( = O ) O [Cs] ) C C C 2 ( C C 1 ) O C C O 2 . O = C c 1 c c c ( Br ) c c 1 | [v7] [u6] [t0]
C = C C O C ( = O ) C C ( C ) = O . N # C C C # N . O = C 1 N c 2 c c c ( Br ) c c 2 C 1 = O | [v0] [u5] [t0]
C = C c 1 c c c c c 1 - c 1 c c c c c 1 . C O [n+] 1 c c c ( C # N ) c c 1 | [v0] [u1] [t17]
F [B-] ( F ) ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c 2 c ( c 1 ) O C C O 2 . [K+] | [v0] [u6] [t0]
C O c 1 c c c ( N ) c c 1 . C c 1 c c c ( C = O ) c c 1 . I C 1 C C C C C 1 | [v10] [u17] [t0]
C C ( = O ) N c 1 c c c ( C # C C 2 C C C C 2 ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0] [u1] [t0]
C C ( C ) ( C ) O N = O . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c c c 2 ) c c 1 . C c 1 c c c ( N ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2] [u5] [t0]
C = C c 1 c c c 2 c c c c c 2 c 1 . N c 1 c c c c c 1 . O = C 1 c 2 c c c c c 2 C ( = O ) N 1 O C ( = O ) C 1 2 C [C@H] 3 C [C@@H] ( C 1 ) C [C@@H] ( C 2 ) C 3 | [v33] [u4] [t0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C O c 1 c c c c ( S ( = O ) ( = O ) Cl ) c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 | [v0] [u4] [t3]
Br c 1 c c c 2 c c c c c 2 c 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13] [u21] [t15]
F [B-] ( F ) ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 Cl . [K+] | [v0] [u6] [t0]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c ( - n 2 c c n c 2 C ( = O ) C c 2 c c c c c 2 ) c ( C ) c 1 | [v0] [u40] [t4]
C = C C C c 1 c c c c c 1 . N C 1 C C C C C 1 . O = C 1 C C C ( = O ) N 1 Cl | [v35] [u3] [t28]
C C S C # C C C C c 1 c c c c c 1 . C S ( C ) = O . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . O = S ( = O ) ( O ) C ( F ) ( F ) F | [v0] [u4] [t0]
C C O C ( = O ) C ( = O ) C C c 1 c c c c c 1 . I C 1 C C C C 1 . N C c 1 c c c c c 1 | [v17] [u2] [t0]
C = C ( C ( = O ) O C ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . N c 1 c c c c 2 [nH] n c c 1 2 . O = C c 1 c c c ( F ) c c 1 | [v31] [u8] [t0]
C c 1 c c c c ( C # C C = O ) c 1 . N c 1 n [nH] c 2 c c c c c 1 2 . c 1 c c c ( [Se] [Se] c 2 c c c c c 2 ) c c 1 | [v0] [u11] [t0]
C = C c 1 c c c c c 1 . C C ( C ) ( C ) C ( = O ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O . C [Si] ( C ) ( C ) C # N | [v41] [u1] [t0]
C C ( C ) I . C C C C = O . F c 1 c c c 2 c ( C 3 C C N C C 3 ) n o c 2 c 1 | [v8] [u2] [t0]
C = C C ( = O ) O C ( C ) ( C ) C . C C ( C ) ( C ) [B-] ( F ) ( F ) F . F c 1 c c ( Br ) c c c 1 - c 1 c c c c c 1 . [K+] | [v28] [u12] [t0]
C = C ( C S ( = O ) ( = O ) c 1 c c c c c 1 ) C ( = O ) O C C . C O c 1 c c c ( N ) c c 1 . O = C c 1 c c c c c 1 | [v40] [u5] [t0]
C = C ( N C ( C ) = O ) c 1 c c c c c 1 . O = C ( C c 1 c c c c c 1 Br ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O . c 1 c c c 2 [nH] c c c 2 c 1 | [v29] [u34] [t0]
C = C c 1 c c c ( O C ) c c 1 . C C O C ( = O ) C C C C C ( = O ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O . C c 1 c c c c ( N ) c 1 C | [v33] [u4] [t0]
C 1 C C C C C 1 . C c 1 c c ( C ) n ( C ( = O ) / C = C / c 2 c c c c c 2 ) n 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v14] [u20] [t0]
C # C c 1 c c c c c 1 . C O . N c 1 c c c c ( F ) c 1 C ( = O ) O . O = O | [v3] [u2] [t0]
C C ( C ) ( C ) O N = O . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c ( C ( C ) ( C ) C ) c c 2 ) c c 1 . C O c 1 c c c ( N ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2] [u5] [t0]
C = C ( C ) c 1 c c c c ( C ) c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21] [u24] [t10]
C c 1 c c c ( S ) c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( Br ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0] [u36] [t0]
C = C O C C . C C O C ( = O ) C C ( = O ) c 1 c c c ( C ) c c 1 . c 1 c c c 2 c n c c c 2 c 1 | [v0] [u26] [t21]
C = C c 1 c c c c c 1 . C O . C O C ( = O ) c 1 c c c ( [I+] c 2 c c c ( C ( = O ) O C ) c c 2 ) c c 1 . F B ( F ) F . [F-] | [v30] [u1] [t0]
C O c 1 c c c c 2 c 1 c c n 2 C . O = S ( = O ) ( Cl ) c 1 c c c c c 1 . [C-] # [O+] | [v0] [u5] [t0]
C = C C ( = O ) O C ( C ) ( C ) C . C C ( C ) ( C ) [B-] ( F ) ( F ) F . C O C ( = O ) c 1 c c c ( Br ) c c 1 . [K+] | [v28] [u12] [t0]
C # C c 1 c c c c c 1 . C O c 1 c c c ( C ( = O ) O ) c c 1 . O = S ( O [Na] ) c 1 c c c ( Br ) c c 1 | [v15] [u5] [t0]
C = C / C = C / c 1 c c c c c 1 Br . C [Si] ( C ) ( C ) N = [N+] = [N-] . C c 1 c c ( C ) [n+] ( N C ( = O ) O C ( C ) ( C ) C ) c ( C ) c 1 . F [B-] ( F ) ( F ) F | [v1] [u1] [t0]
C O c 1 c c c ( C ( C c 2 c c c c c 2 ) = N N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 . O = C = O . S c 1 c c c c c 1 | [v0] [u8] [t2]
C O C ( C ) ( C ) C . C O c 1 c c c ( C ( C ) = O ) c c 1 . N c 1 c c c c c 1 | [v0] [u16] [t0]
C # C C O . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v0] [u41] [t0]
C = C O C C . C C O C ( = O ) C C ( = O ) c 1 c c c c c 1 . C O c 1 c c c 2 n c ( C ) c c c 2 c 1 | [v0] [u26] [t21]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c c c 1 Cl | [v0] [u40] [t4]
N N 1 C C O C C 1 . O = S ( = O ) ( O [IH2] ( c 1 c c c ( Cl ) c c 1 ) c 1 c c c ( Cl ) c c 1 ) C ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] | [v2] [u59] [t5]
Br C 1 C C C C C 1 . S C c 1 c c c o 1 . [C-] # [O+] | [v20] [u25] [t22]
C S ( = O ) ( = O ) Cl . O . c 1 c c c ( C ( = C 2 C C 2 ) c 2 c c c c c 2 ) c c 1 | [v0] [u4] [t16]
C # C c 1 c c c c ( C ) c 1 . C C ( = O ) c 1 c c c ( Br ) c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O | [v7] [u6] [t0]
C C O C ( = O ) C C ( C ) = O . N # C C C # N . O = C 1 N c 2 c c ( F ) c ( F ) c c 2 C 1 = O | [v0] [u5] [t0]
C # C c 1 c c c c c 1 . C O . N c 1 c c c ( Br ) c c 1 C ( = O ) O . O = O | [v3] [u2] [t0]
C C ( C ) ( C ) c 1 c c c ( N ) c c 1 . C C O C ( = O ) C C S ( = O ) ( = O ) c 1 c c c c c 1 . C O c 1 c c c ( C = O ) c c 1 | [v10] [u6] [t0]
C = C c 1 c c c ( C ( C ) C ) c c 1 . O = C ( C C c 1 c c c c c 1 ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O | [v0] [u1] [t31]
C # C c 1 c c c c c 1 . C C ( C ) ( C ) c 1 c c c ( Br ) c c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5] [u10] [t0]
C C ( C ) c 1 c c c ( N ) c c 1 . C O c 1 c c c ( C = O ) c c 1 . I C 1 C C C C C 1 | [v10] [u17] [t0]
C = C c 1 c c c ( O C ) c c 1 . O = C 1 c 2 c c c c c 2 C ( = O ) N 1 O C ( = O ) C 1 2 C [C@H] 3 C [C@@H] ( C 1 ) C [C@@H] ( C 2 ) C 3 . c 1 c c c 2 c ( c 1 ) N C C O 2 | [v33] [u4] [t0]
C = C ( C N C c 1 c c c c c 1 ) c 1 c c c ( Br ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . O = C = O | [v0] [u4] [t1]
C = C ( N = [N+] = [N-] ) c 1 c c c ( C ) c c 1 . C C C C C ( C C ) C 1 C ( C ( = O ) O C C ) = C ( C ) N C ( C ) = C 1 C ( = O ) O C C . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0] [u5] [t0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C N ( C C ) C C . F . O = C ( O N = C 1 C N ( C ( = O ) O C c 2 c c c c c 2 ) C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v0] [u27] [t0]
C C C C = O . F C ( F ) ( F ) I . c 1 c c c 2 c ( c 1 ) N = C ( N 1 C C N C C 1 ) c 1 c c c c c 1 S 2 | [v4] [u2] [t0]
C / C = C / c 1 c c c ( Br ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v0] [u1] [t26]
C = C ( C N C c 1 c c c c c 1 ) c 1 c c c ( C # N ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . O = C = O | [v0] [u4] [t1]
N c 1 c c c c c 1 . O = C c 1 c c c ( F ) c c 1 . O B ( O ) C 1 C C C C 1 | [v2] [u6] [t0]
C = C ( C ) c 1 c c c 2 c ( c 1 ) O C O 2 . C O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0] [u1] [t0]
C # C c 1 c c c c c 1 . N c 1 c c ( Br ) c c n 1 . O = O . S c 1 c c c c c 1 | [v0] [u4] [t5]
C = C ( C C C O ) c 1 c c c c c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0] [u1] [t0]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) [Na] ) c c 1 . O = C ( O ) c 1 c c c s 1 | [v15] [u5] [t0]
C = C C C ( C C = C ) ( C ( = O ) O C C ) C ( = O ) O C C . O = C ( c 1 c c c c c 1 ) c 1 c c c ( Br ) c c 1 . O = S ( O [Na] ) c 1 c c c c c 1 | [v12] [u14] [t0]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C O C ( = O ) C ( C ) ( C ) Br . C S ( C ) = O | [v1] [u1] [t9]
C C # C c 1 c c c ( N C ( C ) = O ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0] [u1] [t0]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C O C ( = O ) C [n+] 1 c ( - c 2 c c c c c 2 ) c c ( - c 2 c c c c c 2 ) c c 1 - c 1 c c c c c 1 . F [B-] ( F ) ( F ) F | [v0] [u37] [t1]
C O C ( = O ) c 1 c c s c 1 N . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . [C-] # [O+] | [v0] [u31] [t0]
C C # C c 1 c c c c c 1 . O = O . c 1 c c c 2 [nH] c c c 2 c 1 | [v11] [u4] [t0]
C = C c 1 c c c 2 c c c c c 2 c 1 . C O c 1 c c c c c 1 B ( O ) O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v18] [u23] [t9]
C C ( C ) ( C ) O C ( = O ) N C ( C c 1 c c c c c 1 ) C ( = O ) O . O = C 1 O c 2 c c c c c 2 [IH2] 1 C # C c 1 c c c c c 1 | [v4] [u32] [t2]
C # C c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O | [v7] [u6] [t0]
C = C C N . I C 1 C C C C C 1 . [C-] # [O+] | [v53] [u1] [t12]
C c 1 c c c ( S ( = O ) ( = O ) N N = C c 2 c c c ( O C ( F ) ( F ) F ) c c 2 ) c c 1 . O = C = O . S c 1 c c c c c 1 | [v0] [u8] [t2]
Br c 1 c c c 2 s c 3 c c c c c 3 c 2 c 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13] [u21] [t15]
C # C [C@] ( O ) ( C C C ( C ) C ) c 1 c c c c c 1 . O = C ( N = C 1 C C ( c 2 c c c c c 2 ) C 1 ) O c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0] [u5] [t0]
C # C c 1 c c c ( Cl ) c c 1 . C C N c 1 c c c c c 1 . C O | [v3] [u2] [t0]
C [Si] ( C ) ( C ) N = [N+] = [N-] . O = C ( c 1 c c c s 1 ) n 1 c c c 2 c c c c c 2 1 . O = O | [v46] [u48] [t14]
C = C c 1 c c c ( F ) c c 1 . C c 1 c c c ( S ) c c 1 . O = C = O | [v27] [u2] [t7]
C = C c 1 c c c 2 c c c c c 2 c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0] [u3] [t0]
C # C c 1 c c c c ( C ) c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 . N # C c 1 c c c ( Br ) c c 1 | [v5] [u10] [t0]
C O c 1 c c c ( C = O ) c c 1 . N c 1 c c c c ( I ) c 1 . O B ( O ) C 1 C C C C 1 | [v2] [u6] [t0]
C / C = C / c 1 c c c c c 1 . C c 1 c c c ( S ) c c 1 . O = C = O | [v27] [u2] [t7]
F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] . S c 1 c c c ( Br ) c c 1 | [v0] [u36] [t0]
C = C C C c 1 c c c c c 1 . C C ( C ) ( C ) N . O = C 1 C C C ( = O ) N 1 Cl | [v24] [u3] [t24]
Br c 1 c c c ( Br ) c c 1 . C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5] [u10] [t0]
C = C c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0] [u1] [t0]
C # C c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 . N c 1 c c c c c 1 O . O = O | [v3] [u2] [t0]
C = C c 1 c c c c c 1 . C O C ( = O ) c 1 c c c ( C = O ) c c 1 . C O C ( = O ) c 1 c c c ( N ) c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0] [u1] [t20]
C N C C C # N . F C ( F ) ( F ) I . O = C C C c 1 c c c c c 1 | [v4] [u2] [t0]
C 1 C C C C C 1 . C = C C ( = O ) O C . C c 1 c c ( C ) c c ( Br ) c 1 | [v13] [u21] [t15]
C = C ( C ) c 1 c c c c c 1 Cl . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0] [u1] [t0]
C = C c 1 c c c ( C ) c c 1 . C C # N . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v0] [u44] [t0]
C # C c 1 c c c ( C C C C ) c c 1 . C O . O = O | [v6] [u2] [t0]
C = C ( C ) c 1 c c c ( - c 2 c c c c c 2 ) c c 1 . C C ( C ) ( C ) O C ( = O ) C 1 C C ( = N O C ( = O ) c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) C 1 . C O . O = S ( O [K] ) O S ( = O ) O [K] | [v0] [u1] [t0]
C # C c 1 c c c c c 1 . N c 1 c c c c c 1 O . O = O | [v3] [u2] [t0]
C = C c 1 c c c n c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C [S-] . [NH4+] | [v0] [u3] [t0]
N c 1 n [nH] c 2 c c c c c 1 2 . O = C C # C c 1 c c c c c 1 . c 1 c c c ( C [Se] [Se] C c 2 c c c c c 2 ) c c 1 | [v0] [u11] [t0]
C = C C = C . C C ( C ) = C C O c 1 c c ( C ) c ( C ) c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0] [u13] [t3]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F B ( F ) C 1 C C C C C 1 . N c 1 c c c c ( C ( F ) ( F ) F ) c 1 . [F-] . [K+] | [v0] [u6] [t0]
C = C N C ( C ) = O . C C c 1 c c n c 2 c c c c c 1 2 . C N ( O C ( = O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) C ( = O ) O C C ( Cl ) ( Cl ) Cl | [v48] [u12] [t8]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c ( Cl ) c c 1 | [v0] [u40] [t4]
C = C C C C O . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F | [v0] [u15] [t0]
C C ( C ) I . C C C C = O . C C O C ( = O ) C N C c 1 c c c c c 1 | [v8] [u2] [t0]
C = C C = C . C C ( C ) = C C O c 1 c c ( C ( C ) ( C ) C ) c c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0] [u13] [t3]
C C ( C ) c 1 c c c c ( N ) c 1 . C O c 1 c c c ( C = O ) c c 1 . I C 1 C C C C C 1 | [v10] [u17] [t0]
C = C O C C C C . C C O C ( = O ) C C ( = O ) c 1 c c c c c 1 . c 1 c c c 2 c n c c c 2 c 1 | [v0] [u26] [t21]
C ( = C 1 C C C 1 ) c 1 c c c c c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v2] [u4] [t4]
